lag,correlation,p_value
-48,-0.01443590547048762,0.8680160804362168
-47,0.0033346007356554325,0.9692659476020542
-46,0.055934359056891605,0.5162060773180743
-45,0.046634497838884126,0.5870307226092346
-44,0.11005095325180911,0.19715964473380276
-43,0.059488381890615116,0.4850620533792138
-42,0.05692319260080535,0.5025693465944558
-41,0.024420005176838934,0.7729878064127186
-40,0.016995207822582965,0.8403357954486979
-39,0.023425564952169492,0.7804788501602463
-38,0.042802382566905814,0.6092233409225543
-37,0.03939854690750372,0.6368226594320564
-36,0.043524512057104225,0.6006612280014041
-35,0.015861599034503647,0.8482587720478095
-34,-0.004452381605466786,0.957022168553668
-33,0.04088038313225718,0.6194008377787301
-32,-0.005880156705221504,0.9428750751918074
-31,0.05024924718367635,0.5386941953571205
-30,0.008024143528057845,0.9215822788229453
-29,0.029425527503030034,0.7171543379022364
-28,0.0668514678529389,0.4085306846741173
-27,0.0483476987862011,0.5489350805404684
-26,0.06334086747155505,0.43063330297956665
-25,-0.025803144581433644,0.7475900320368108
-24,0.013927617142963339,0.8616742305948816
-23,0.01984592210026556,0.8032915392483416
-22,0.04262671359835872,0.5913352423205566
-21,0.05088609955267437,0.520174918255794
-20,0.014180762365801007,0.8574167036822564
-19,0.03139774245179419,0.6898119847422365
-18,0.08380831686381204,0.2845125275326546
-17,0.04441264091552456,0.5699171962048325
-16,0.044306093051448454,0.5696685304751028
-15,0.060020778144307715,0.4396129261394278
-14,0.03444080132658855,0.6566526485823138
-13,0.05688537689645738,0.46123223651475864
-12,-0.002566430575879162,0.973423922659192
-11,-0.0020476189800209058,0.9787321287988713
-10,-0.020546723213235807,0.7884537177234457
-9,-0.014349162676076607,0.8509363425206719
-8,0.01270390184498392,0.8674808467705369
-7,0.0467988678519409,0.5373856279808393
-6,0.07054444226224539,0.35079615523377555
-5,0.08943632642650085,0.23514734662939146
-4,0.09389737464234049,0.21121763068989757
-3,0.11357080293138247,0.12901120035709374
-2,0.08454670761191138,0.2577998908046398
-1,0.032093386503734236,0.6671293098879807
0,-0.011335033945612482,0.8789568755104303
1,-0.04260772471993162,0.5679259763404764
2,-0.011926629563896687,0.8733928183897448
3,-0.055324792498854,0.46072469189707854
4,-0.033627379509332464,0.6549630246973397
5,-0.030035181784833796,0.6906405458997426
6,-0.03409007097260939,0.6523813486068679
7,0.007632393479282906,0.9199195169639387
8,-0.013915460446422473,0.8549754613236056
9,-0.022769266347073144,0.7655344275335138
10,-0.05604117466438115,0.46396189250603115
11,-0.02581904376285281,0.7367196595099211
12,-0.04574925365744838,0.5523968084420079
13,-0.019170356279796505,0.8040341743274692
14,-0.029052651737716775,0.7076897940357533
15,-0.007653023125215722,0.9215707148016392
16,-0.01653162185144385,0.8320715194164807
17,-0.013148007299902086,0.8664830194964239
18,0.00173172954787245,0.9823878290343767
19,-0.020881600821102367,0.7907024891910907
20,-0.010766480941205758,0.8915024493109427
21,-0.051632793587527315,0.5140627412844329
22,-0.023548384621386177,0.7668418083737604
23,-0.02588864658330637,0.7452149464680053
24,0.015306821754804838,0.8481338872747414
25,-0.018200550079170458,0.8204396061929661
26,-0.04242014894679606,0.5978373673835757
27,-0.013088831230714755,0.8711707177015588
28,-0.009944026432859021,0.9022630705963516
29,-5.6402397817137406e-05,0.9994460824907683
30,0.00430811933846853,0.9578500462304286
31,0.01863547971979629,0.8197420160693759
32,0.013322968266324772,0.8710206923873963
33,0.051815391914983494,0.5288772710032767
34,-0.005835837063962762,0.9436873497664177
35,-0.0143773338683017,0.8623105046690326
36,-0.05945945401165133,0.4743702087054949
37,-0.06579646836936702,0.4300865152755545
38,-0.09444070346725399,0.2585177788521821
39,-0.06568882951687775,0.43407280254640673
40,-0.08528312225107276,0.31118746623078514
41,-0.09287987179478008,0.2715992064663502
42,-0.08116381978366947,0.3386846156123982
43,-0.08138423188560051,0.3391203706113023
44,-0.06904690493205384,0.4192837730627528
45,-0.051410344226868104,0.5492811562738296
46,-0.005221174816816197,0.9517154080788836
47,0.02259153354491677,0.7940448495753063
48,0.008912320441892926,0.9182876526940514
