,timestamp,net_flow,inflow,outflow,BTC_premium,ETH_premium,USDT_premium
count,4093,4093.0,4093.0,4093.0,4093.0,4093.0,4093.0
mean,2025-08-15 03:24:25.331053056,-342.91950950012097,242144.72610869046,242487.64561819058,-3.7894522208756722,-3.799770675128789,-3.7912190973977418
min,2025-05-17 19:00:00,-2212436.771603,0.0,0.0,-8.872010952047434,-10.408345422111934,-8.522661431599897
25%,2025-07-01 09:00:00,-95264.797923,21461.828689,34962.097022,-6.095684255874458,-6.113270340180841,-6.068723884310476
50%,2025-08-14 16:00:00,-10414.011818,101194.149824,134095.127778,-4.979167413741662,-4.97841488360044,-4.978084974404067
75%,2025-09-30 06:00:00,56696.85149,292455.069701,328002.78898099996,-2.742536933509638,-2.780398998713496,-2.728642222722097
max,2025-11-13 09:00:00,3621199.669547,15210250.287864,14040891.061662,5.6026439812471125,5.849662142317932,5.791974260921728
std,,301770.6108402402,457562.9945372632,398381.1934750013,3.2899679923022704,3.292663974109124,3.2770322015428714
