timestamp,net_flow,inflow,outflow
2025-11-05 22:00:00,119842.43185600001,367776.991609,247934.559753
2025-11-05 23:00:00,-762850.081458,742056.6593470001,1504906.740805
2025-11-06 00:00:00,-231312.45411499997,618243.2648710001,849555.7189859999
2025-11-06 01:00:00,604003.757693,1040005.584969,436001.827276
2025-11-06 02:00:00,-43322.344828,22818.170356000002,66140.515184
2025-11-06 03:00:00,-5902.636645000003,58096.390166,63999.026810999996
2025-11-06 04:00:00,-67838.53308899999,56957.200724,124795.733813
2025-11-06 05:00:00,-14438.429970000001,0.0,14438.429970000001
2025-11-06 06:00:00,-247112.38894999996,119735.09857,366847.48751999997
2025-11-06 07:00:00,-135947.391388,15975.955598,151923.34698600002
2025-11-06 08:00:00,-432831.257062,145428.014169,578259.271231
2025-11-06 09:00:00,-256505.655233,1101.258745,257606.913978
2025-11-06 10:00:00,44715.060838000005,77351.783754,32636.722916
2025-11-06 11:00:00,446440.747955,510311.05010600004,63870.302151
2025-11-06 12:00:00,39887.614824,356063.04441,316175.429586
2025-11-06 13:00:00,117772.51515699999,223005.752072,105233.236915
2025-11-06 14:00:00,61231.182953,247467.64988900002,186236.466936
2025-11-06 15:00:00,51135.085638,231195.39314899998,180060.307511
2025-11-06 16:00:00,5563.060603000003,122149.269314,116586.208711
2025-11-06 17:00:00,133384.814869,627845.6656699999,494460.850801
2025-11-06 18:00:00,-109298.724068,170276.78836500001,279575.51243299997
2025-11-06 19:00:00,285071.61963800003,462024.506935,176952.887297
2025-11-06 20:00:00,310613.3078520001,850556.1878810001,539942.880029
2025-11-06 21:00:00,210708.534674,226699.710531,15991.175857
2025-11-06 22:00:00,-106685.422457,974955.960648,1081641.383105
2025-11-06 23:00:00,-400179.93067900004,112495.848218,512675.778897
2025-11-07 00:00:00,-87404.739356,1341063.435177,1428468.174533
2025-11-07 01:00:00,-255135.97706600002,303376.781455,558512.758521
2025-11-07 02:00:00,982623.300228,1000520.688089,17897.387861
2025-11-07 03:00:00,-50525.045373,0.0,50525.045373
2025-11-07 04:00:00,-165201.698889,0.0,165201.698889
2025-11-07 05:00:00,22221.830960999996,69729.348308,47507.517347
2025-11-07 06:00:00,-154800.20560100002,104804.18900000001,259604.394601
2025-11-07 07:00:00,-127906.511293,11267.5,139174.011293
2025-11-07 08:00:00,-193455.404377,136530.98207,329986.38644699997
2025-11-07 09:00:00,-135812.10982399998,183458.05361,319270.163434
2025-11-07 10:00:00,-62769.369691000014,312037.44346599997,374806.813157
2025-11-07 11:00:00,146879.488892,195087.20512499998,48207.716233
2025-11-07 12:00:00,1139.9896239999798,457370.57776799996,456230.58814400004
2025-11-07 13:00:00,434642.742867,574456.050841,139813.307974
2025-11-07 14:00:00,-11312.170492000012,495319.35925300006,506631.529745
2025-11-07 15:00:00,52860.975847999995,160166.836102,107305.860254
2025-11-07 16:00:00,14236.471554999996,610918.4511139999,596681.979559
2025-11-07 17:00:00,-207223.67919400003,148687.652044,355911.331238
2025-11-07 18:00:00,186738.232819,336127.644064,149389.411245
2025-11-07 19:00:00,-60927.823093000006,119801.459,180729.282093
2025-11-07 20:00:00,132032.73445000002,523596.067724,391563.333274
2025-11-07 21:00:00,-33156.78535300001,152843.996143,186000.781496
2025-11-07 22:00:00,65771.958893,153856.344993,88084.3861
2025-11-07 23:00:00,-93258.90039499999,369756.673566,463015.573961
2025-11-08 00:00:00,-188791.596848,302197.1446,490988.741448
2025-11-08 01:00:00,171058.33181599996,757361.746269,586303.4144530001
2025-11-08 02:00:00,-25608.95951399994,571082.158652,596691.118166
2025-11-08 03:00:00,122537.905826,616129.806904,493591.901078
2025-11-08 04:00:00,1288814.358757,1649335.5583099998,360521.19955300004
2025-11-08 05:00:00,-454298.779935,0.0,454298.779935
2025-11-08 06:00:00,-617895.790077,34304.582030000005,652200.3721070001
2025-11-08 07:00:00,-254561.364457,54168.958544,308730.323001
2025-11-08 08:00:00,7248.024342,45901.096927,38653.072585
2025-11-08 09:00:00,-33408.136793000005,1604806.330133,1638214.466926
2025-11-08 10:00:00,-140745.922306,63414.61399900001,204160.536305
2025-11-08 11:00:00,189716.277528,415421.138163,225704.860635
2025-11-08 12:00:00,-73592.006496,2529.626294,76121.63279
2025-11-08 13:00:00,72885.612126,78431.85740400001,5546.245278
2025-11-08 14:00:00,18885.927683999984,211188.46561199997,192302.537928
2025-11-08 15:00:00,90069.72184,153271.171707,63201.449867
2025-11-08 16:00:00,-5858.616351999986,172619.83668,178478.453032
2025-11-08 17:00:00,61163.732640999995,115978.18637499999,54814.453733999995
2025-11-08 18:00:00,18083.122884999997,180473.680351,162390.557466
2025-11-08 19:00:00,-37135.85920800002,205376.103051,242511.96225900002
2025-11-08 20:00:00,-63973.64247900001,188326.11328,252299.755759
2025-11-08 21:00:00,-19780.00523,88430.721804,108210.727034
2025-11-08 22:00:00,-46798.417288000004,122157.466844,168955.884132
2025-11-08 23:00:00,12472.923468000006,185938.160979,173465.23751099998
2025-11-09 00:00:00,105053.47458499999,174626.991361,69573.516776
2025-11-09 01:00:00,-62160.955345999995,319715.200581,381876.155927
2025-11-09 02:00:00,-25930.548166,1068.437864,26998.98603
2025-11-09 03:00:00,-61410.511568,24236.052337,85646.563905
2025-11-09 04:00:00,-4965.992078999992,100997.20411,105963.196189
2025-11-09 05:00:00,12339.99455,20000.0,7660.00545
2025-11-09 06:00:00,-22861.622716,148371.007489,171232.630205
2025-11-09 07:00:00,-228188.740524,83848.437918,312037.178442
2025-11-09 08:00:00,112059.18826899999,112059.18826899999,0.0
